SubsetSize,Feature Groups,Model,R2,MSE
2,Lab+RGB,Ridge,0.7339267320543742,41.71805568670543
2,Lab+RGB,Lasso,0.6696884570443333,51.790078159231456
2,Lab+RGB,ElasticNet,0.6840778356551359,49.533944340086485
2,Lab+RGB,BayesianRidge,0.730536668740537,42.24958916693847
2,Lab+RGB,ARDRegression,0.7264080377741006,42.896923857482626
2,Lab+RGB,HuberRegressor,0.7245230968686627,43.19246677416254
2,Lab+RGB,RANSACRegressor,0.14629293725291626,133.85410364146307
2,Lab+RGB,PassiveAggressiveRegressor,0.4768297290631469,82.02870835198917
2,Lab+RGB,LinearSVR,-0.5850503170977226,248.5225889300015
2,Lab+GLCM,LinearRegression,0.7637803412499813,37.03726027840463
2,Lab+GLCM,Ridge,0.7796714633677024,34.54566567910497
2,Lab+GLCM,Lasso,0.6788629134794293,50.35160037674035
2,Lab+GLCM,ElasticNet,0.6897341567902235,48.64708065055682
2,Lab+GLCM,BayesianRidge,0.7795672666988801,34.56200284242042
2,Lab+GLCM,ARDRegression,0.7636251721810277,37.06158948633085
2,Lab+GLCM,HuberRegressor,0.7683378029288747,36.32268853063719
2,Lab+GLCM,RANSACRegressor,0.6570505330418388,53.7715985929496
2,Lab+GLCM,PassiveAggressiveRegressor,0.42925005052689746,89.4888026863679
2,Lab+GLCM,LinearSVR,0.6317460532581924,57.73912868301862
2,Lab+LBP,LinearRegression,0.7994047690866735,31.45164893242809
2,Lab+LBP,Ridge,0.798698676281314,31.56235835920141
2,Lab+LBP,Lasso,0.7738309291197162,35.46141243893128
2,Lab+LBP,ElasticNet,0.7743802814124465,35.37527860926588
2,Lab+LBP,BayesianRidge,0.7740043592554087,35.4342200489763
2,Lab+LBP,ARDRegression,0.7275196149830805,42.72263787880334
2,Lab+LBP,HuberRegressor,0.5064461833370802,77.38509684534503
2,Lab+LBP,RANSACRegressor,0.4921840264815285,79.62128336083529
2,Lab+LBP,PassiveAggressiveRegressor,-6.083725515213648,1110.6687184125947
2,Lab+LBP,LinearSVR,0.4420149136845747,87.48737925831432
2,Lab+Temp,LinearRegression,0.8611698740559656,21.76739876893285
2,Lab+Temp,Ridge,0.8616267968489905,21.695757109208387
2,Lab+Temp,Lasso,0.8086690737134623,29.999083707431616
2,Lab+Temp,ElasticNet,0.8061620458159333,30.39216464429077
2,Lab+Temp,BayesianRidge,0.8606248804202364,21.852849197755702
2,Lab+Temp,ARDRegression,0.8620634766250251,21.627289384680743
2,Lab+Temp,HuberRegressor,0.8477128938837986,23.877340337027864
2,Lab+Temp,RANSACRegressor,0.8090560390370385,29.93841079187562
2,Lab+Temp,PassiveAggressiveRegressor,0.6379659953428338,56.76389395816767
2,Lab+Temp,LinearSVR,0.03608943247401408,151.13308842912645
2,Lab+Yellow,LinearRegression,0.7267436697944635,42.84429957311219
2,Lab+Yellow,Ridge,0.7286088532712631,42.551854455450275
2,Lab+Yellow,Lasso,0.6478748799554281,55.21026400032526
2,Lab+Yellow,ElasticNet,0.6633511618746648,52.78371286305804
2,Lab+Yellow,BayesianRidge,0.7262512588216591,42.92150548163058
2,Lab+Yellow,ARDRegression,0.730072947071116,42.32229683342976
2,Lab+Yellow,HuberRegressor,0.7237513576468015,43.31346900817802
2,Lab+Yellow,RANSACRegressor,0.650612154187806,54.781082370250886
2,Lab+Yellow,PassiveAggressiveRegressor,0.3318151849242166,104.76577199795607
2,Lab+Yellow,LinearSVR,0.6593120550174913,53.417010924502335
2,Lab+Cyan,LinearRegression,0.7353097782858862,41.501205643298235
2,Lab+Cyan,Ridge,0.7315323097953599,42.0934810043644
2,Lab+Cyan,Lasso,0.6443295636422293,55.76613984806825
2,Lab+Cyan,ElasticNet,0.6582686746273936,53.580604214247664
2,Lab+Cyan,BayesianRidge,0.7269186755417052,42.8168601404879
2,Lab+Cyan,ARDRegression,0.7300542839714378,42.32522305084978
2,Lab+Cyan,HuberRegressor,0.7220256219328967,43.58404988677996
2,Lab+Cyan,RANSACRegressor,0.285680748414218,111.99926451022233
2,Lab+Cyan,PassiveAggressiveRegressor,-0.07947325282686846,169.25234775160996
2,Lab+Cyan,LinearSVR,0.6421963392541004,56.10061153138813
2,Lab+Magenta,LinearRegression,0.7272619210272097,42.76304212867088
2,Lab+Magenta,Ridge,0.7271292682437313,42.78384097197776
2,Lab+Magenta,Lasso,0.6436103433258816,55.878907558406326
2,Lab+Magenta,ElasticNet,0.6603650998259765,53.25190233505187
2,Lab+Magenta,BayesianRidge,0.7240290071529517,43.26993589548167
2,Lab+Magenta,ARDRegression,0.7300562631272153,42.32491273583176
2,Lab+Magenta,HuberRegressor,0.7122882823641918,45.11078302124353
2,Lab+Magenta,RANSACRegressor,0.3809278107584,97.06532439083495
2,Lab+Magenta,PassiveAggressiveRegressor,0.5215418211663021,75.01822750725536
2,Lab+Magenta,LinearSVR,0.48004524037256713,81.52454316131306
2,Lab+Brightness,LinearRegression,0.7287773156396666,42.52544096971968
2,Lab+Brightness,Ridge,0.7277484008551709,42.686766173893304
2,Lab+Brightness,Lasso,0.6449541331266235,55.66821259392746
2,Lab+Brightness,ElasticNet,0.6598102813519149,53.33889321608111
2,Lab+Brightness,BayesianRidge,0.7246868970992109,43.16678427252582
2,Lab+Brightness,ARDRegression,0.7300593947920482,42.32442171706502
2,Lab+Brightness,HuberRegressor,0.7110211419782546,45.309460000676886
2,Lab+Brightness,RANSACRegressor,0.5276811989510264,74.05562458858417
2,Lab+Brightness,PassiveAggressiveRegressor,0.5890381820268404,64.43536451327232
2,Lab+Brightness,LinearSVR,0.5862578677572384,64.8712944600173
2,Lab+Chroma,LinearRegression,0.733095839818143,41.84833261699754
2,Lab+Chroma,Ridge,0.7304905045236614,42.256827328762185
2,Lab+Chroma,Lasso,0.670460477296655,51.669031861998015
2,Lab+Chroma,ElasticNet,0.679557575919675,50.242683135300084
2,Lab+Chroma,BayesianRidge,0.715253349249029,44.64588541476275
2,Lab+Chroma,ARDRegression,0.7300685471734756,42.32298670045849
2,Lab+Chroma,HuberRegressor,0.7057787993997914,46.13141532638744
2,Lab+Chroma,RANSACRegressor,0.6515291844704207,54.63729971710464
2,Lab+Chroma,PassiveAggressiveRegressor,0.5179528870890232,75.58094225439199
2,Lab+Chroma,LinearSVR,0.2767455047741657,113.40023573378079
2,HSV+RGB,LinearRegression,0.6966644109386231,47.56047495462108
2,HSV+RGB,Ridge,0.707807747738636,45.81329325257331
2,HSV+RGB,Lasso,0.7112083930973236,45.28010059650588
2,HSV+RGB,ElasticNet,0.7187275475126922,44.10116028040699
2,HSV+RGB,BayesianRidge,0.7407726594312116,40.64467172093098
2,HSV+RGB,ARDRegression,0.7375665693585138,41.147359740746374
2,HSV+RGB,HuberRegressor,0.7203377937339783,43.84868718512914
2,HSV+RGB,RANSACRegressor,0.5571749152767389,69.43125736227786
2,HSV+RGB,PassiveAggressiveRegressor,0.561126931341356,68.81161440629273
2,HSV+RGB,LinearSVR,0.5393819420076812,72.22104626291369
2,HSV+GLCM,LinearRegression,0.8129318454297474,29.330716872939867
2,HSV+GLCM,Ridge,0.8226561103021249,27.80603374114543
2,HSV+GLCM,Lasso,0.7664885087343649,36.61264234216936
2,HSV+GLCM,ElasticNet,0.7633466554048434,37.105258579690926
2,HSV+GLCM,BayesianRidge,0.8198526954268934,28.245585669006676
2,HSV+GLCM,ARDRegression,0.8188319058089985,28.405636915238826
2,HSV+GLCM,HuberRegressor,0.7727243705465918,35.634911537621775
2,HSV+GLCM,RANSACRegressor,0.6358127780302055,57.10150036428043
2,HSV+GLCM,PassiveAggressiveRegressor,0.6228023374465491,59.14142827198919
2,HSV+GLCM,LinearSVR,0.20286848129076573,124.98353308433747
2,HSV+LBP,LinearRegression,0.8035195925162701,30.80647914779584
2,HSV+LBP,Ridge,0.8034761255306605,30.813294406390582
2,HSV+LBP,Lasso,0.7921442240598829,32.59004146649271
2,HSV+LBP,ElasticNet,0.7953403417383069,32.08891703441709
2,HSV+LBP,BayesianRidge,0.796598784190111,31.89160381806796
2,HSV+LBP,ARDRegression,0.7393775994756142,40.863405415462815
2,HSV+LBP,HuberRegressor,0.5191796733197729,75.3885924678642
2,HSV+LBP,RANSACRegressor,0.6538821101123116,54.26838072079592
2,HSV+LBP,PassiveAggressiveRegressor,0.03631940539128198,151.09703060549353
2,HSV+LBP,LinearSVR,-1.8360453824360152,444.66811757529877
2,HSV+Temp,LinearRegression,0.871236442607054,20.18904529272357
2,HSV+Temp,Ridge,0.8711418404232179,20.203878121304328
2,HSV+Temp,Lasso,0.8371445025051552,25.534375421601798
2,HSV+Temp,ElasticNet,0.8420654382096866,24.76281399667018
2,HSV+Temp,BayesianRidge,0.8693083441379643,20.49135495323171
2,HSV+Temp,ARDRegression,0.8709550538507166,20.23316468847172
2,HSV+Temp,HuberRegressor,0.8545162818720904,22.81062619041232
2,HSV+Temp,RANSACRegressor,0.7988204298426559,31.54326842246581
2,HSV+Temp,PassiveAggressiveRegressor,0.3106069975321524,108.0910378146522
2,HSV+Temp,LinearSVR,0.7827488334303816,34.063159876719425
2,HSV+Yellow,LinearRegression,0.7389329112755252,40.933128793680304
2,HSV+Yellow,Ridge,0.7389574514878914,40.929281094308
2,HSV+Yellow,Lasso,0.7039948389950754,46.4111253479219
2,HSV+Yellow,ElasticNet,0.7091230674182462,45.60706216418372
2,HSV+Yellow,BayesianRidge,0.736981506719927,41.23909265298228
2,HSV+Yellow,ARDRegression,0.739367084381451,40.86505409399123
2,HSV+Yellow,HuberRegressor,0.7176590864688416,44.268686006198955
2,HSV+Yellow,RANSACRegressor,0.7434762251546225,40.22077530220103
2,HSV+Yellow,PassiveAggressiveRegressor,0.5330296604636089,73.21703070449011
2,HSV+Yellow,LinearSVR,0.7119921937263213,45.15720723506349
2,HSV+Cyan,LinearRegression,0.7400392272560059,40.759667731480626
2,HSV+Cyan,Ridge,0.7399620922264503,40.77176185684408
2,HSV+Cyan,Lasso,0.7079771116471878,45.786738412912634
2,HSV+Cyan,ElasticNet,0.7113847974804464,45.25244186951194
2,HSV+Cyan,BayesianRidge,0.736611826211462,41.297055454572636
2,HSV+Cyan,ARDRegression,0.7393879544384134,40.86178184418852
2,HSV+Cyan,HuberRegressor,0.7063954515974873,46.03472943636384
2,HSV+Cyan,RANSACRegressor,0.6781766235917387,50.45920487219741
2,HSV+Cyan,PassiveAggressiveRegressor,0.5736068388670216,66.85486963016194
2,HSV+Cyan,LinearSVR,0.4509324170398793,86.08918956253848
2,HSV+Magenta,LinearRegression,0.7302981895531937,42.28698070233969
2,HSV+Magenta,Ridge,0.7356379077087214,41.44975770326283
2,HSV+Magenta,Lasso,0.7053048979547158,46.20571909627878
2,HSV+Magenta,ElasticNet,0.7090253367026664,45.62238552028912
2,HSV+Magenta,BayesianRidge,0.7365957216772147,41.29958051040305
2,HSV+Magenta,ARDRegression,0.7399770639022896,40.76941442370578
2,HSV+Magenta,HuberRegressor,0.7102126599738456,45.43622319467247
2,HSV+Magenta,RANSACRegressor,0.5892730785885782,64.39853470350279
2,HSV+Magenta,PassiveAggressiveRegressor,0.615128179530164,60.34467183635114
2,HSV+Magenta,LinearSVR,0.6101532407828569,61.12470048522886
2,HSV+Brightness,LinearRegression,0.7360544433432745,41.38444841108196
2,HSV+Brightness,Ridge,0.7367918174682265,41.268834335890574
2,HSV+Brightness,Lasso,0.7039939655975187,46.41126228932978
2,HSV+Brightness,ElasticNet,0.7091222952385183,45.607183235485365
2,HSV+Brightness,BayesianRidge,0.7358409341805815,41.41792485615148
2,HSV+Brightness,ARDRegression,0.738222757759337,41.04447490583654
2,HSV+Brightness,HuberRegressor,0.7072731031680328,45.89712103482753
2,HSV+Brightness,RANSACRegressor,0.5925560484128654,63.883792583766926
2,HSV+Brightness,PassiveAggressiveRegressor,0.19132976108986732,126.7927075858239
2,HSV+Brightness,LinearSVR,0.6690054757202382,51.89716389968025
2,HSV+Chroma,LinearRegression,0.7342110937243473,41.6734701630461
2,HSV+Chroma,Ridge,0.7348050173492918,41.5803479225054
2,HSV+Chroma,Lasso,0.7068804189379977,45.95869062692667
2,HSV+Chroma,ElasticNet,0.7163862149345742,44.46826158159814
2,HSV+Chroma,BayesianRidge,0.737896043515752,41.09570095764081
2,HSV+Chroma,ARDRegression,0.7393765929928415,40.86356322351577
2,HSV+Chroma,HuberRegressor,0.7150337346527953,44.68031914057831
2,HSV+Chroma,RANSACRegressor,0.683881707733285,49.5646955524449
2,HSV+Chroma,PassiveAggressiveRegressor,0.6404588482607919,56.37303553915732
2,HSV+Chroma,LinearSVR,0.7255042986739298,43.03862256475328
2,RGB+GLCM,LinearRegression,0.7429159608970528,40.30862003638657
2,RGB+GLCM,Ridge,0.7631830233591522,37.130914711353384
2,RGB+GLCM,Lasso,0.704377765808283,46.351085636902944
2,RGB+GLCM,ElasticNet,0.7150989161264736,44.67009923246934
2,RGB+GLCM,BayesianRidge,0.7687949772399054,36.251007434999984
2,RGB+GLCM,ARDRegression,0.759361946985819,37.730027422512485
2,RGB+GLCM,HuberRegressor,0.7517667497448325,38.92089061556254
2,RGB+GLCM,RANSACRegressor,0.24097446030837522,119.00883533688118
2,RGB+GLCM,PassiveAggressiveRegressor,0.22591975038453138,121.36928752284997
2,RGB+GLCM,LinearSVR,0.7476068098325948,39.573134286082436
2,RGB+LBP,LinearRegression,0.7866229699063134,33.45572778672139
2,RGB+LBP,Ridge,0.7886262681681167,33.14162742974729
2,RGB+LBP,Lasso,0.7773512586947251,34.909454302062784
2,RGB+LBP,ElasticNet,0.7766144251593243,35.02498361734883
2,RGB+LBP,BayesianRidge,0.7693647212442213,36.161676356072974
2,RGB+LBP,ARDRegression,0.7086594363824847,45.679755620077735
2,RGB+LBP,HuberRegressor,0.5070893500831604,77.28425369662898
2,RGB+LBP,RANSACRegressor,0.3779611832315518,97.53046669288709
2,RGB+LBP,PassiveAggressiveRegressor,-0.12754244612780274,176.78919389337716
2,RGB+LBP,LinearSVR,0.08571847915800668,143.35167036624907
2,RGB+Temp,LinearRegression,0.8587844288237108,22.14141656412575
2,RGB+Temp,Ridge,0.8605832798475969,21.859371818458538
2,RGB+Temp,Lasso,0.8146603160121528,29.059707189906405
2,RGB+Temp,ElasticNet,0.827076567903335,27.112943083102746
2,RGB+Temp,BayesianRidge,0.8617898796850876,21.670187089001647
2,RGB+Temp,ARDRegression,0.8581762994304017,22.236766149939736
2,RGB+Temp,HuberRegressor,0.859782629075764,21.984907140901203
2,RGB+Temp,RANSACRegressor,0.8166633526444932,28.74564785423664
2,RGB+Temp,PassiveAggressiveRegressor,0.7493315238507906,39.30271360079422
2,RGB+Temp,LinearSVR,0.8532250574340505,23.013079347116488
2,RGB+Yellow,LinearRegression,0.7054457857606862,46.183629070548555
2,RGB+Yellow,Ridge,0.7098578361402295,45.49185659431486
2,RGB+Yellow,Lasso,0.6692573442589291,51.85767302634309
2,RGB+Yellow,ElasticNet,0.6832222191452761,49.66809782901229
2,RGB+Yellow,BayesianRidge,0.7160240194783151,44.52505078981269
2,RGB+Yellow,ARDRegression,0.7086763240030505,45.6771077828838
2,RGB+Yellow,HuberRegressor,0.7177590006155499,44.25302030641466
2,RGB+Yellow,RANSACRegressor,0.6071496978785675,61.595630808692086
2,RGB+Yellow,PassiveAggressiveRegressor,0.5845267693246461,65.14271616790872
2,RGB+Yellow,LinearSVR,0.716916284518287,44.38515111889778
2,RGB+Cyan,LinearRegression,0.7054457857606851,46.18362907054871
2,RGB+Cyan,Ridge,0.7101120286070344,45.452001348550475
2,RGB+Cyan,Lasso,0.6720369201470033,51.421858851625636
2,RGB+Cyan,ElasticNet,0.6809875112589345,50.01848127326333
2,RGB+Cyan,BayesianRidge,0.7169005771542796,44.38761390176736
2,RGB+Cyan,ARDRegression,0.7086485558843199,45.68146159088739
2,RGB+Cyan,HuberRegressor,0.7170208513735898,44.36875591344857
2,RGB+Cyan,RANSACRegressor,0.5637533835202936,68.39980874424562
2,RGB+Cyan,PassiveAggressiveRegressor,0.5866782411832039,64.80538343434739
2,RGB+Cyan,LinearSVR,0.7000898102493424,47.0234010865954
2,RGB+Magenta,LinearRegression,0.7054457857606838,46.18362907054892
2,RGB+Magenta,Ridge,0.7095621931323526,45.538210937091264
2,RGB+Magenta,Lasso,0.669254099946432,51.85818170731832
2,RGB+Magenta,ElasticNet,0.6807410452499669,50.05712507527464
2,RGB+Magenta,BayesianRidge,0.7162265102772916,44.49330193171442
2,RGB+Magenta,ARDRegression,0.708680983224877,45.67637725599878
2,RGB+Magenta,HuberRegressor,0.7027417656414772,46.60759673472661
2,RGB+Magenta,RANSACRegressor,0.5661315583149009,68.02693089266667
2,RGB+Magenta,PassiveAggressiveRegressor,-1.0821909824695108,326.4700735542155
2,RGB+Magenta,LinearSVR,0.3608081207433391,100.21992295283363
2,RGB+Brightness,LinearRegression,0.7054457857606862,46.183629070548534
2,RGB+Brightness,Ridge,0.7100618761250299,45.459864836879234
2,RGB+Brightness,Lasso,0.6692565948368765,51.85779052943225
2,RGB+Brightness,ElasticNet,0.6807408277763316,50.057159173315746
2,RGB+Brightness,BayesianRidge,0.7161749052615454,44.5013931651451
2,RGB+Brightness,ARDRegression,0.7086746471982415,45.677370691807106
2,RGB+Brightness,HuberRegressor,0.7041607773889921,46.385107600211185
2,RGB+Brightness,RANSACRegressor,0.5964116201312644,63.27927129196572
2,RGB+Brightness,PassiveAggressiveRegressor,-0.6113548366189647,252.6469168591923
2,RGB+Brightness,LinearSVR,0.6973625848737905,47.45100714024343
2,RGB+Chroma,LinearRegression,0.7053797335400338,46.193985504476245
2,RGB+Chroma,Ridge,0.7101286974139029,45.44938781950808
2,RGB+Chroma,Lasso,0.6762149125818779,50.76678469704218
2,RGB+Chroma,ElasticNet,0.681274402670212,49.97349910739556
2,RGB+Chroma,BayesianRidge,0.713504029923132,44.920164005825534
2,RGB+Chroma,ARDRegression,0.7060604078942496,46.087261477545844
2,RGB+Chroma,HuberRegressor,0.7130442868845979,44.99224785638003
2,RGB+Chroma,RANSACRegressor,0.6058045607414235,61.80653702421276
2,RGB+Chroma,PassiveAggressiveRegressor,-0.1746147478388398,184.16973579916439
2,RGB+Chroma,LinearSVR,0.25383495304995074,116.99241799253844
2,GLCM+LBP,LinearRegression,0.7829129863477431,34.03742207674992
2,GLCM+LBP,Ridge,0.7550091708956911,38.41250618756012
2,GLCM+LBP,Lasso,0.7529241967998431,38.73941262993786
2,GLCM+LBP,ElasticNet,0.7527269389576192,38.77034100432915
2,GLCM+LBP,BayesianRidge,0.7558481292123753,38.2809645635387
2,GLCM+LBP,ARDRegression,0.5821054131926402,65.52236449083988
2,GLCM+LBP,HuberRegressor,0.5277212579834643,74.04934366844925
2,GLCM+LBP,RANSACRegressor,-0.30072209618408774,203.94230980252098
2,GLCM+LBP,PassiveAggressiveRegressor,-1.0277063085846656,317.92733389175356
2,GLCM+LBP,LinearSVR,0.18707232223433823,127.46023827249928
2,GLCM+Temp,LinearRegression,0.6740623120889073,51.10429439100863
2,GLCM+Temp,Ridge,0.6346562956600834,57.28282709540966
2,GLCM+Temp,Lasso,0.5982968759775418,62.98367899520496
2,GLCM+Temp,ElasticNet,0.5995353107112287,62.78950282116383
2,GLCM+Temp,BayesianRidge,0.6043895956363265,62.028391679154055
2,GLCM+Temp,ARDRegression,0.671982313772518,51.430420672921
2,GLCM+Temp,HuberRegressor,0.6479847752484946,55.19303334054778
2,GLCM+Temp,RANSACRegressor,0.624896311499608,58.81311071184301
2,GLCM+Temp,PassiveAggressiveRegressor,0.6170643988286677,60.041088897935985
2,GLCM+Temp,LinearSVR,0.5186333712436366,75.47424804916322
2,GLCM+Yellow,LinearRegression,0.6746052242203244,51.01917032459517
2,GLCM+Yellow,Ridge,0.6109156758899723,61.00515705833098
2,GLCM+Yellow,Lasso,0.5452254833471705,71.30482801637342
2,GLCM+Yellow,ElasticNet,0.5465002420024236,71.10495655623926
2,GLCM+Yellow,BayesianRidge,0.5478656784540339,70.89086757854994
2,GLCM+Yellow,ARDRegression,0.6807762746948115,50.05160139394735
2,GLCM+Yellow,HuberRegressor,0.5708695326629507,67.2840562731295
