Feature Group,R2_Train,R2_Test,MSE_Test
"('RGB', 'Temp', 'Day')",0.7601417189310351,0.8616425145265096,21.693292709266704
"('RGB', 'Yellow', 'Cyan')",0.5924045674371673,0.7054457857606851,46.18362907054872
"('RGB', 'Yellow', 'Magenta')",0.5924045674371676,0.7054457857606852,46.183629070548704
"('RGB', 'Yellow', 'Brightness')",0.5924045674371674,0.7054457857606855,46.183629070548655
"('RGB', 'Yellow', 'Chroma')",0.5924046483234453,0.7053797335400331,46.193985504476366
"('RGB', 'Yellow', 'Day')",0.7139936199131443,0.7860574384865698,33.54439836773694
"('RGB', 'Cyan', 'Magenta')",0.5924045674371676,0.7054457857606852,46.183629070548704
"('RGB', 'Cyan', 'Brightness')",0.5924045674371673,0.7054457857606858,46.183629070548605
"('RGB', 'Cyan', 'Chroma')",0.5924046483234452,0.7053797335400329,46.1939855044764
"('RGB', 'Cyan', 'Day')",0.7139936199131444,0.7860574384865691,33.54439836773707
"('RGB', 'Magenta', 'Brightness')",0.5924045674371676,0.7054457857606843,46.18362907054885
"('RGB', 'Magenta', 'Chroma')",0.5924046483234456,0.7053797335400329,46.19398550447639
"('RGB', 'Magenta', 'Day')",0.7139936199131445,0.7860574384865692,33.544398367737045
"('RGB', 'Brightness', 'Chroma')",0.5924046483234453,0.7053797335400338,46.19398550447625
"('RGB', 'Brightness', 'Day')",0.7139936199131443,0.7860574384865695,33.544398367736974
"('RGB', 'Chroma', 'Day')",0.7150587143730227,0.7804089896259225,34.43002775069376
"('Lab', 'HSV', 'GRAY')",0.6809710134440332,0.7498703353227253,39.218232483377335
"('Lab', 'HSV', 'GLCM')",0.7591494993365939,0.8092749290931665,29.90409066786872
"('Lab', 'HSV', 'LBP')",0.7990809422621216,0.8363258583985007,25.66273194795521
"('Lab', 'HSV', 'Temp')",0.7818707236204563,0.8688919902164676,20.556635754330188
"('Lab', 'HSV', 'Yellow')",0.6596237145450989,0.7340768856695556,41.694512859844004
"('Lab', 'HSV', 'Cyan')",0.6803643281671563,0.7648918930330201,36.86297828629955
"('Lab', 'HSV', 'Magenta')",0.6632395660518441,0.7384156436149552,41.01423202225793
"('Lab', 'HSV', 'Brightness')",0.6676817345814732,0.7426018105582808,40.357876173344955
"('Lab', 'HSV', 'Chroma')",0.659314384421938,0.7373659219506272,41.17881957059039
"('Lab', 'HSV', 'Day')",0.7483732550530029,0.7673618079903463,36.4757163470347
"('Lab', 'GRAY', 'GLCM')",0.7021028404443839,0.758449643957239,37.873068881894376
