Model,Feature_Groups,R² Score
ARDRegression,"('RGB', 'Temp')",0.858161781020436
HuberRegressor,"('RGB', 'Temp')",0.8552728414080597
RANSACRegressor,"('RGB', 'Temp')",0.8531500273612307
PassiveAggressiveRegressor,"('RGB', 'Temp')",0.8070201950170651
LinearSVR,"('RGB', 'Temp')",0.8063914465040255
LinearRegression,"('RGB', 'Yellow')",0.705445785760685
Ridge,"('RGB', 'Yellow')",0.710023624625391
Lasso,"('RGB', 'Yellow')",0.6067913121421008
ElasticNet,"('RGB', 'Yellow')",0.5828814045725649
BayesianRidge,"('RGB', 'Yellow')",0.717114650942039
ARDRegression,"('RGB', 'Yellow')",0.7086717116577095
HuberRegressor,"('RGB', 'Yellow')",0.7004738894675393
RANSACRegressor,"('RGB', 'Yellow')",0.5855276022136189
PassiveAggressiveRegressor,"('RGB', 'Yellow')",0.4980685699352435
LinearSVR,"('RGB', 'Yellow')",0.6748181658373025
LinearRegression,"('RGB', 'Cyan')",0.7054457857606848
Ridge,"('RGB', 'Cyan')",0.7105736859283257
Lasso,"('RGB', 'Cyan')",0.6067806415116164
ElasticNet,"('RGB', 'Cyan')",0.5793270140884239
BayesianRidge,"('RGB', 'Cyan')",0.7176019071688633
ARDRegression,"('RGB', 'Cyan')",0.7086706464839891
HuberRegressor,"('RGB', 'Cyan')",0.700502464112166
RANSACRegressor,"('RGB', 'Cyan')",0.5303384658234918
PassiveAggressiveRegressor,"('RGB', 'Cyan')",0.5222153303512235
LinearSVR,"('RGB', 'Cyan')",0.6734028106240879
LinearRegression,"('RGB', 'Magenta')",0.7054457857606855
Ridge,"('RGB', 'Magenta')",0.7096580961436865
Lasso,"('RGB', 'Magenta')",0.6067806888676643
ElasticNet,"('RGB', 'Magenta')",0.5813312663991004
BayesianRidge,"('RGB', 'Magenta')",0.717132645875334
ARDRegression,"('RGB', 'Magenta')",0.7086729899873547
HuberRegressor,"('RGB', 'Magenta')",0.7004510694713135
RANSACRegressor,"('RGB', 'Magenta')",0.6276622715975316
PassiveAggressiveRegressor,"('RGB', 'Magenta')",0.5851942626904213
LinearSVR,"('RGB', 'Magenta')",0.6726007471201368
LinearRegression,"('RGB', 'Brightness')",0.7054457857606855
Ridge,"('RGB', 'Brightness')",0.7096900405787203
Lasso,"('RGB', 'Brightness')",0.6067806415116164
ElasticNet,"('RGB', 'Brightness')",0.5810407425420043
BayesianRidge,"('RGB', 'Brightness')",0.7172216850978979
ARDRegression,"('RGB', 'Brightness')",0.7086723980291985
HuberRegressor,"('RGB', 'Brightness')",0.7004839406790311
RANSACRegressor,"('RGB', 'Brightness')",0.5377534766455787
PassiveAggressiveRegressor,"('RGB', 'Brightness')",-0.06754667292556449
LinearSVR,"('RGB', 'Brightness')",0.671703752940452
LinearRegression,"('RGB', 'Chroma')",0.7053797335400334
Ridge,"('RGB', 'Chroma')",0.7103115595897205
Lasso,"('RGB', 'Chroma')",0.606780685469801
ElasticNet,"('RGB', 'Chroma')",0.5797111530141145
BayesianRidge,"('RGB', 'Chroma')",0.712803358633154
ARDRegression,"('RGB', 'Chroma')",0.7060253890264392
HuberRegressor,"('RGB', 'Chroma')",0.7029916713874904
RANSACRegressor,"('RGB', 'Chroma')",0.29984948070672357
PassiveAggressiveRegressor,"('RGB', 'Chroma')",0.7185315182483962
LinearSVR,"('RGB', 'Chroma')",0.6713468284581354
LinearRegression,"('GLCM', 'LBP')",0.7829129863388913
Ridge,"('GLCM', 'LBP')",0.7439305097011102
Lasso,"('GLCM', 'LBP')",0.5398418418980077
ElasticNet,"('GLCM', 'LBP')",0.4990441405434568
BayesianRidge,"('GLCM', 'LBP')",0.778728805138976
ARDRegression,"('GLCM', 'LBP')",0.7765820418807007
HuberRegressor,"('GLCM', 'LBP')",0.7752406234063905
RANSACRegressor,"('GLCM', 'LBP')",0.6039456450583385
PassiveAggressiveRegressor,"('GLCM', 'LBP')",0.30236174425329776
LinearSVR,"('GLCM', 'LBP')",0.6919593387801712
LinearRegression,"('GLCM', 'Temp')",0.6740623120889015
Ridge,"('GLCM', 'Temp')",0.6775353895087954
Lasso,"('GLCM', 'Temp')",0.593823870289236
ElasticNet,"('GLCM', 'Temp')",0.5546165534989848
BayesianRidge,"('GLCM', 'Temp')",0.6730417808882343
ARDRegression,"('GLCM', 'Temp')",0.6719497273725702
HuberRegressor,"('GLCM', 'Temp')",0.6637226810060559
RANSACRegressor,"('GLCM', 'Temp')",0.4012154744660432
PassiveAggressiveRegressor,"('GLCM', 'Temp')",0.4720101354976798
LinearSVR,"('GLCM', 'Temp')",0.6699696982502001
LinearRegression,"('GLCM', 'Yellow')",0.6746052242203247
Ridge,"('GLCM', 'Yellow')",0.6707921851072438
Lasso,"('GLCM', 'Yellow')",0.5250634935883431
ElasticNet,"('GLCM', 'Yellow')",0.4863614486698662
BayesianRidge,"('GLCM', 'Yellow')",0.6765074089310426
ARDRegression,"('GLCM', 'Yellow')",0.680780066753456
HuberRegressor,"('GLCM', 'Yellow')",0.6596303292541588
RANSACRegressor,"('GLCM', 'Yellow')",0.6471373462319125
PassiveAggressiveRegressor,"('GLCM', 'Yellow')",0.4271506305883407
LinearSVR,"('GLCM', 'Yellow')",0.5904518886949115
LinearRegression,"('GLCM', 'Cyan')",0.56962448397694
Ridge,"('GLCM', 'Cyan')",0.5734062920209163
Lasso,"('GLCM', 'Cyan')",0.5012457625752273
ElasticNet,"('GLCM', 'Cyan')",0.4749932667423121
BayesianRidge,"('GLCM', 'Cyan')",0.5734115816359552
ARDRegression,"('GLCM', 'Cyan')",0.5693527516012592
HuberRegressor,"('GLCM', 'Cyan')",0.5406344881182619
RANSACRegressor,"('GLCM', 'Cyan')",0.42669726014549747
PassiveAggressiveRegressor,"('GLCM', 'Cyan')",0.19052804918523802
LinearSVR,"('GLCM', 'Cyan')",0.5067089464681509
LinearRegression,"('GLCM', 'Magenta')",0.6412275285668959
Ridge,"('GLCM', 'Magenta')",0.6399495132318246
Lasso,"('GLCM', 'Magenta')",0.521282635060564
ElasticNet,"('GLCM', 'Magenta')",0.48569624472000117
BayesianRidge,"('GLCM', 'Magenta')",0.6435178367658673
ARDRegression,"('GLCM', 'Magenta')",0.6197791470773861
HuberRegressor,"('GLCM', 'Magenta')",0.6195990963459033
RANSACRegressor,"('GLCM', 'Magenta')",0.22894701611938872
PassiveAggressiveRegressor,"('GLCM', 'Magenta')",0.5872663987258171
LinearSVR,"('GLCM', 'Magenta')",0.5587329247752576
LinearRegression,"('GLCM', 'Brightness')",0.6252316040079706
Ridge,"('GLCM', 'Brightness')",0.6234912268661956
Lasso,"('GLCM', 'Brightness')",0.5155618894342324
ElasticNet,"('GLCM', 'Brightness')",0.4823149988651477
BayesianRidge,"('GLCM', 'Brightness')",0.6270423723993244
ARDRegression,"('GLCM', 'Brightness')",0.6268081185163727
HuberRegressor,"('GLCM', 'Brightness')",0.6025423103227003
RANSACRegressor,"('GLCM', 'Brightness')",0.37014273859645186
PassiveAggressiveRegressor,"('GLCM', 'Brightness')",0.556732318986952
LinearSVR,"('GLCM', 'Brightness')",0.5466889591483102
LinearRegression,"('GLCM', 'Chroma')",0.6505723185624338
