Label,R_Mean,R_Std,G_Mean,G_Std,B_Mean,B_Std,H_Mean,H_Std,S_Mean,S_Std,V_Mean,V_Std,L_Mean,L_Std,A_Mean,A_Std,B_Lab_Mean,B_Lab_Std
2_20_4,204.28658361123064,47.508908664493525,208.2233034257566,40.12009458994126,195.19088648119262,64.14310652204128,62.23533357761403,58.72306157242337,26.526338725437466,53.65375916646922,209.18204206334266,40.28207707237223,211.024608142391,40.39117248900918,124.4168069599828,8.006120337038833,134.40166475051993,14.25136145469337
2_20_5,204.7151474200373,49.906518995918674,208.1882360916882,43.11574803080201,197.5325458642606,63.11164408814327,63.40099998207114,60.00595088430794,23.372206571823007,47.871503897250456,209.14840999040806,43.316631222736696,211.02106747301707,43.22762964231987,124.87256498090576,7.18322386424225,133.30456311854562,12.136317594122081
2_20_6,211.25088574162723,47.69669179579941,214.9786886945102,40.30243266382791,202.58846675765562,64.57491783629266,52.60010992631239,57.465258666640395,24.580270692143575,51.75828417054981,215.7555726813504,40.36305563075016,217.25672584310456,40.33216225148513,124.60153039613813,7.732142822972639,134.08002960502725,13.896648820174015
2_20_7,215.03124691847748,48.05625045191579,218.42303695810025,41.0730879595703,206.9330147599326,63.98502071702411,45.80764396873207,57.3679023067687,22.776866730314115,50.848575101048915,219.08094252008033,41.068358871616844,220.44843800424914,40.98879166596068,124.87507345229132,7.556986876677306,133.6430214720489,13.421807201171756
2_20_8,211.1378541509789,49.81787956245672,214.74370484168819,42.60722179305941,202.13092615999713,66.62638372775643,51.73136110289372,59.38312532247441,25.728013448884827,54.04851700966562,215.51232961981856,42.670191666409174,216.9415676657523,42.70660760353274,124.60578603476407,7.783714917858518,134.23280510434597,13.97255103230248
2_20_9,206.88379079935814,51.24947356937469,211.27165598779047,43.41552658039484,197.51210270770582,68.04109768557089,56.101626371557664,58.22910022978008,28.046640580177854,54.80786205471127,212.07666693559955,43.51493870448372,213.53765749381455,43.624764627574635,124.10491273128227,8.211749307425762,134.7688514101047,14.292549608498588
2_20_10,204.38496665232358,50.34518341410093,208.88288107788296,42.446479906417245,194.6124522083871,67.0426442574548,61.37126732375933,59.403374125401974,28.42171812248996,52.88371514538489,209.77661029161288,42.625017150032996,211.3484554288583,42.672112931448495,123.9633001313289,8.259418423771582,135.02858493124282,14.358020571181667
3_5_1,206.84082176921973,58.391917268712184,210.81665669373925,51.43781753307779,201.51756109258463,68.72520683478253,52.67489214671185,54.52821598430363,22.99877142498566,45.66159017368434,211.54172521559454,51.58847633318983,212.92722385076019,51.47803326269189,124.80493637496414,6.758229436938751,132.64422808421185,10.385136587553012
3_5_2,205.7138555337421,53.214805917482146,209.02599746082544,46.88548927981635,200.6444339299161,63.01594186113888,67.69096564830751,58.761733156269166,20.68142996091509,40.72481221477444,210.0762199467513,47.12951163979764,211.70819147124212,46.89015689164708,125.18368602759251,6.3501634555550925,132.21798264486517,9.814174685072885
3_5_3,203.209425592997,56.703135441433545,207.11537517256528,49.89295308448025,197.13681786296974,67.25741573506798,61.483436200157776,58.51702929467575,23.722678156823726,44.31282215754648,208.02366771774598,50.10456088515185,209.59818963353413,49.90649274217582,124.7033966222031,6.8418700921029,133.00410419580106,10.60359176793559
3_5_4,210.29171860432803,50.31675238375206,213.20541574781268,44.153690785538764,205.45614550837277,60.29716338971984,60.41886799429862,59.836348806961965,18.55773742290591,40.7749598712861,214.13462174591223,44.274194003571566,215.78115592952167,44.05011688178065,125.49516318622706,6.295701261950207,131.88750072835987,9.886727607549854
3_5_5,199.85142416765277,56.39511089206661,203.44018490255667,49.820312538284995,194.5861334848322,65.80721384425956,72.08143954164873,58.843795034371375,22.71536990596314,41.59507557751771,204.5867153323114,50.14883556337866,206.33053385416667,49.90563649254592,124.95807801518575,6.504373305621059,132.48829811433234,9.824555911862774
3_5_6,208.6440040855386,47.8289445419631,211.73800004706325,41.72716060389427,203.36822395609224,58.79811072023085,70.54073218095597,58.616348725609036,19.33582269927926,39.95581074775204,212.8731885129805,41.92057971515592,214.50482824153758,41.62706249978228,125.32376610235586,6.393123866514608,132.17194923667887,10.464476161364232
3_5_7,207.96974874946213,50.55054655430093,211.4838588169643,43.75190955195536,201.37289246270797,64.04932453349153,57.99530168665734,57.26076724131574,22.871984702201665,50.444994446464484,212.35463685097534,43.88729468846686,214.0287014688217,43.85968390829427,124.97870858433735,7.217409762975714,132.98450526436102,12.302203146072547
3_5_8,203.43402449082043,49.57896415438595,207.7219987091222,41.80599529661168,193.84590908275962,66.62401289521631,55.82993508632745,57.268698984887706,28.472126228126793,56.14902392124085,208.62768221322793,41.92688506865264,210.3726148455429,42.15623314481746,124.14150256158563,8.325990973925157,134.81752932488885,14.454829152679533
3_5_9,212.31080807605423,49.470610073689905,215.67411621934167,42.62736363371163,205.58402796453672,63.08390715057779,55.35839188226119,60.011374341776275,21.745423042616896,48.027081017508415,216.46702759699514,42.68446930614639,217.92447171498495,42.66576892580353,125.03541549008534,7.198935472462312,132.99376613597246,12.198676975984784
3_5_10,205.4629747225509,50.858478888904436,208.99461966168246,44.188704444871874,198.06876523952954,64.5081714843903,54.66856101862808,57.126336865637846,24.043302618957977,49.82554804415091,209.90566462277684,44.279555302584164,211.68155568703386,44.231303392936205,124.81601377608649,7.324284103178602,133.42832854856928,12.400701224459496
3_10_1,202.32491321312034,54.614955352070936,206.06756854426635,47.67198771888038,196.36706435115462,65.95140351278735,65.18779700274311,58.24162643931439,23.778713626828743,46.341242665093624,207.05920086596387,47.90402282161224,208.814211981856,47.83410004563142,124.81891505755164,6.903070685404794,132.88575619442054,10.886944122311595
3_10_2,193.71154399965937,45.11909128346932,196.5485731430185,38.8178265650337,188.30915946150674,55.60408111367055,81.71506685223035,56.438844836101666,21.108114657289875,42.08561575218184,197.97486575767357,39.39832181535869,200.680085352571,39.67055802150054,125.4058267108613,6.4167459558520505,132.1918012451592,10.147296140924041
3_10_3,185.34949860827237,50.252798467231706,189.68065476190478,42.910119558470456,177.82580926384108,62.35447321445666,78.54186422027395,53.83760372752589,28.67608200659782,49.24773683184881,191.02606217279833,43.56380481341733,193.62028123655335,44.06013134601342,124.22886019524528,7.548807087315288,133.95788236651964,11.913718302281763
3_10_4,194.75859856838068,43.98325038692193,197.56841394596242,38.01886567287219,189.9227193931978,54.109326434215326,83.02439697405694,54.30849222385552,19.79865090944134,40.10651081508652,199.00849082714788,38.59344896548541,201.69633444492254,38.8011711992759,125.52121796337134,6.2359862373563715,131.86487921552282,9.912825997583756
3_10_5,205.19166464967012,54.968965801228734,209.10103421498494,47.75153791393549,198.54527865927997,67.51815556658549,63.40930334059452,58.85713140278034,24.57924723447361,47.88120258078743,210.09979516279404,47.924751078883986,211.54382737422907,47.71122534721906,124.64751393968733,7.261609308858013,133.2779310321644,11.781936580996948
3_10_6,217.65815466105494,45.33592828898312,220.22140890571214,39.635840314403474,212.43843375735085,57.32209544594236,52.488246624892426,59.24179005492596,16.87875452703672,41.81871459390741,220.98623444671543,39.620112551920315,222.44967587985872,39.31164586363552,125.71620264540304,6.247695311397512,131.84986609383964,10.873132635328924
3_10_7,205.91897915322002,48.84188721281858,209.10136729955536,42.19118480688057,199.81548156913368,60.96835565359355,67.09666237494622,60.17029753946458,21.60894515562249,45.81354448195037,210.1359334660069,42.410432213521084,212.00485535893574,42.463296610199905,125.16774850518145,6.876813024998654,132.65663194070927,11.249939487658892
