Model,Feature_Groups,MAE,MSE,R² Score
ElasticNet,"('GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'HSV', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'RGB', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('HSV', 'RGB', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('HSV', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('RGB', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'HSV', 'RGB', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'HSV', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'RGB', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('HSV', 'RGB', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
ElasticNet,"('Lab', 'HSV', 'RGB', 'GLCM', 'Chroma')",9.309441423,145.362417,0.072894153
PassiveAggressiveRegressor,"('HSV', 'RGB', 'GLCM', 'Temp', 'Chroma')",10.04117001,145.2299711,0.073738879
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Cyan')",9.149373534,144.854801,0.076131674
PassiveAggressiveRegressor,"('Lab', 'GLCM', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",9.237848456,144.8431292,0.076206115
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Yellow', 'Magenta', 'Brightness')",10.33190015,144.7110742,0.077048348
PassiveAggressiveRegressor,"('GLCM', 'Temp', 'Yellow', 'Brightness')",9.144875482,144.6001198,0.077756003
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'GLCM', 'Cyan')",9.134000946,144.5959614,0.077782525
PassiveAggressiveRegressor,"('Lab', 'RGB', 'Yellow', 'Cyan', 'Magenta', 'Brightness', 'Chroma')",9.055599966,144.3592104,0.079292498
LinearSVR,"('Lab', 'HSV', 'RGB', 'GLCM', 'Chroma')",9.31964575,144.3278581,0.079492459
LinearSVR,"('Lab', 'HSV', 'RGB', 'Chroma')",9.320231193,144.3174852,0.079558616
LinearSVR,"('Lab', 'GLCM', 'Chroma')",9.321326849,144.2983782,0.079680479
LinearSVR,"('Lab', 'Chroma')",9.317677094,144.243809,0.080028515
LinearSVR,"('HSV', 'GLCM', 'Chroma')",9.317393111,144.2117866,0.080232751
LinearSVR,"('RGB', 'Chroma')",9.31735458,144.2112279,0.080236314
LinearSVR,"('HSV', 'RGB', 'Chroma')",9.316543085,144.2008087,0.080302767
LinearSVR,"('GLCM', 'Chroma')",9.316515301,144.199756,0.08030948
LinearSVR,"('Lab', 'RGB', 'Chroma')",9.316441626,144.1969648,0.080327282
LinearSVR,"('Lab', 'HSV', 'Chroma')",9.316237867,144.189247,0.080376506
LinearSVR,"('HSV', 'Chroma')",9.314671461,144.1725435,0.080483038
RANSACRegressor,"('RGB', 'Cyan', 'Magenta')",9.012485422,144.1538919,0.080601996
LinearSVR,"('RGB', 'GLCM', 'Chroma')",9.313218318,144.1517709,0.080615524
LinearSVR,"('Chroma',)",9.309931172,144.1052433,0.080912272
RANSACRegressor,"('Lab', 'Yellow', 'Magenta', 'Chroma')",9.135372219,144.0755291,0.081101786
RANSACRegressor,"('Lab', 'HSV', 'GLCM', 'Yellow', 'Cyan', 'Brightness')",9.114364167,143.9744137,0.081746689
RANSACRegressor,"('Lab', 'Temp', 'Chroma')",9.68058264,143.9480927,0.081914562
LinearSVR,"('Lab', 'HSV', 'GLCM', 'Chroma')",9.311473894,143.93214,0.082016306
PassiveAggressiveRegressor,"('HSV', 'GLCM', 'Yellow', 'Cyan', 'Magenta', 'Chroma')",9.215518023,143.9305752,0.082026286
LinearSVR,"('Lab', 'RGB', 'GLCM', 'Chroma')",9.31018081,143.914512,0.082128736
LinearSVR,"('HSV', 'RGB', 'GLCM', 'Chroma')",9.309988163,143.9118946,0.082145429
PassiveAggressiveRegressor,"('RGB', 'Yellow', 'Magenta', 'Brightness', 'Chroma')",9.181156615,143.830441,0.082664932
PassiveAggressiveRegressor,"('Lab', 'Yellow', 'Magenta', 'Chroma')",9.467445552,143.6614228,0.083742911
PassiveAggressiveRegressor,"('RGB', 'Yellow')",9.10660719,143.6133108,0.084049764
RANSACRegressor,"('Lab', 'HSV', 'RGB', 'Yellow', 'Cyan', 'Magenta')",9.001358515,143.6047845,0.084104144
PassiveAggressiveRegressor,"('RGB', 'GLCM', 'Chroma')",9.336018682,143.5466401,0.084474983
RANSACRegressor,"('GLCM', 'Cyan', 'Magenta')",9.034135505,143.5014444,0.084763236
PassiveAggressiveRegressor,"('Lab', 'HSV', 'Yellow', 'Brightness')",9.337725142,143.3098865,0.085984972
PassiveAggressiveRegressor,"('Yellow', 'Magenta', 'Chroma')",9.496405662,143.2506049,0.086363064
RANSACRegressor,"('RGB', 'GLCM', 'Yellow', 'Cyan', 'Brightness', 'Chroma')",8.922296665,143.1883864,0.086759887
PassiveAggressiveRegressor,"('Lab', 'HSV', 'RGB', 'Yellow', 'Brightness', 'Chroma')",9.423738284,143.1123149,0.087245062
RANSACRegressor,"('HSV', 'RGB', 'GLCM', 'Cyan', 'Brightness', 'Chroma')",9.063216801,143.1117522,0.087248652
