Filename,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_energy,GLCM_correlation,GLCM_ASM,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
8_15_5.png,11.73811612,1.163888715,0.7203995,0.364645053,0.991783942,0.132966014,400109,822759,294263,1076031,928506,1624753,888767,1106843,9068020,1638269
2_5_6.png,27.96910587,1.755882702,0.672878194,0.274908741,0.993833322,0.075574816,458059,940986,336636,1234920,1092978,1861781,1015076,1250463,7803955,1853466
4_5_9.png,24.93047304,1.634945281,0.682596472,0.279697324,0.99385373,0.078230593,450374,942626,319635,1219380,1013213,1843853,1015904,1264619,7908369,1870347
2_15_1.png,25.51852908,1.781154169,0.658539711,0.277701258,0.994804421,0.077117989,474606,935598,370519,1246146,1187848,1842788,1028271,1229115,7691633,1841796
1_15_2.png,18.30367802,1.381600933,0.711820663,0.352594552,0.996599178,0.124322918,406434,840456,297176,1091871,967939,1658029,918120,1120505,8874208,1673582
1_20_3.png,28.20388537,1.635662839,0.713821926,0.382133925,0.993710969,0.146026337,389774,793787,291031,1062255,1012065,1609406,866102,1052219,9219768,1551913
2_10_6.png,33.49108096,1.765095405,0.698066042,0.300646265,0.991420821,0.090388177,415233,897636,288535,1180634,984857,1825841,962754,1218903,8315832,1758095
6_15_5.png,21.58086494,1.621634525,0.666098843,0.259962065,0.990371426,0.067580275,475335,966711,346328,1260631,1103737,1894709,1037484,1283437,7576400,1903548
2_10_7.png,32.90631792,1.847459515,0.676054377,0.277407349,0.993386269,0.076954838,454880,942632,323431,1214484,1071967,1851041,1005587,1257054,7871827,1855417
8_15_7.png,10.9672631,1.0337897,0.753068791,0.444270792,0.991185784,0.197376537,352409,721867,261044,949437,819566,1420732,778657,974920,10141287,1428401
1_10_4.png,26.80298142,1.684757765,0.698557932,0.369473993,0.995161371,0.136511031,421587,824456,321043,1080358,1054923,1605518,895805,1073864,8952303,1618463
0_15_7.png,30.68385381,1.832552859,0.683516262,0.34442913,0.993990541,0.118631425,449151,871813,337383,1112316,1090544,1649085,928185,1123860,8582009,1703974
5_15_6.png,26.83057806,1.774386231,0.656881378,0.23371083,0.98818301,0.054620752,467279,981753,347555,1322166,1167451,2012382,1068186,1327949,7227665,1925934
6_20_2.png,7.048642781,0.835007375,0.77129874,0.406323209,0.993432619,0.16509855,337625,755565,215358,968871,650634,1530430,801891,1064298,10002430,1521218
7_15_6.png,14.31199237,1.307791036,0.706246143,0.33117739,0.988628296,0.109678464,411959,860225,301666,1137553,974604,1713707,924918,1163648,8662897,1697143
3_20_9.png,25.57265656,1.742994221,0.667562646,0.290426074,0.992941417,0.084347305,459065,922901,353786,1220831,1158909,1808757,1008245,1212592,7896145,1807089
4_10_6.png,31.69852027,1.700679338,0.711704645,0.369450167,0.991487929,0.136493426,406117,839380,293390,1061655,945053,1588355,896838,1098106,9082344,1637082
0_5_8.png,38.4304059,2.126251412,0.661101509,0.31503328,0.992406519,0.099245967,471682,910816,363122,1177713,1176861,1720434,977137,1173906,8117656,1758993
2_20_10.png,25.70477958,1.799545726,0.645143025,0.232109238,0.994287113,0.053874699,496062,1006492,376107,1318702,1202383,1969912,1096998,1317022,7080797,1983845
1_20_5.png,28.17775972,1.719835865,0.688930902,0.3510652,0.994837982,0.123246775,439172,862529,335922,1107171,1062222,1629967,936641,1114966,8667428,1692302
6_20_9.png,9.522842785,1.096899939,0.705378284,0.239292599,0.989707608,0.057260948,405431,923481,273392,1300852,917307,2067826,986493,1350251,7769807,1853480
8_5_6.png,22.85636376,1.579047671,0.689571432,0.300615566,0.993977202,0.090369719,438448,899587,320453,1183071,1004389,1800695,965046,1216628,8236725,1783278
2_15_6.png,39.75616173,2.22997264,0.620652425,0.186964569,0.990291202,0.03495575,542527,1094027,386417,1373711,1233373,2053765,1161740,1423730,6443173,2135857
3_10_5.png,25.60359497,1.7255482,0.666941243,0.29433776,0.995283244,0.086634717,469343,928714,358773,1208418,1147641,1776362,1019253,1209375,7890156,1840285
6_5_5.png,32.87412754,1.943048245,0.654460322,0.235694834,0.993992413,0.055552055,471352,974390,351150,1314445,1183991,1998906,1050909,1311841,7278765,1912571
6_5_4.png,23.79349636,1.475347795,0.723173863,0.369800717,0.994468116,0.13675257,394499,815137,276312,1051376,903311,1607109,864266,1095119,9234130,1607061
1_20_8.png,30.97328456,1.848329844,0.673364896,0.295969598,0.993455426,0.087598003,443251,908374,337706,1210939,1139515,1824399,993218,1210556,8001177,1779185
0_10_1.png,31.0529664,1.958550065,0.657836308,0.315989032,0.995300495,0.099849069,477202,906272,380417,1186681,1216690,1722540,989716,1158772,8035952,1774078
4_20_5.png,19.60010939,1.533908172,0.673534024,0.27511177,0.993150778,0.075686486,465557,951452,343610,1230174,1061903,1847597,1030113,1262954,7776468,1878492
5_5_7.png,36.4582536,1.882058234,0.689301962,0.299688558,0.992190222,0.089813232,417365,890345,302179,1200228,1051696,1849610,956478,1211448,8225250,1743721
5_15_8.png,19.72108532,1.511243936,0.670730902,0.238415512,0.991218781,0.056841956,467408,982133,333852,1295957,1062835,1971523,1054113,1333387,7405361,1941751
1_5_7.png,39.18001596,1.965719711,0.693155039,0.353516295,0.992616056,0.124973771,417522,836605,314471,1103274,1088889,1666794,897705,1102969,8798376,1621715
1_5_5.png,34.66766066,2.026837273,0.653744926,0.295818322,0.994754619,0.087508479,472717,919947,374871,1222000,1263152,1795391,1013685,1182971,7804719,1798867
2_5_2.png,28.65501944,1.827172851,0.661402323,0.266360929,0.994776067,0.070948144,464484,948499,356019,1265540,1170812,1883034,1037315,1254074,7604443,1864100
5_15_5.png,22.31195202,1.575974342,0.686624836,0.314812003,0.993518646,0.099106598,430166,878028,329534,1182794,1096799,1769098,962010,1169072,8301354,1729465
4_10_2.png,25.48376796,1.690558759,0.656388164,0.223151034,0.993638311,0.049796384,491804,1025764,348215,1310039,1092187,1991612,1097950,1362583,7090213,2037953
4_15_6.png,32.84579037,1.966875964,0.640006112,0.216058586,0.989464783,0.046681313,505397,1042219,368131,1339122,1194812,1993023,1117973,1369627,6875606,2042410
5_15_9.png,13.91664944,1.415516167,0.6693499,0.264202331,0.993433381,0.069802872,455939,940644,354835,1272339,1117619,1918367,1053061,1267618,7606516,1861382
3_15_6.png,35.87811402,1.974646264,0.663084459,0.269179479,0.990954108,0.072457592,473258,966057,342117,1241067,1122797,1862483,1031457,1272682,7650056,1886346
2_20_7.png,26.96178524,1.627416296,0.704757133,0.358979179,0.993531604,0.128866051,416101,845777,305474,1081109,986575,1621257,913321,1117310,8899412,1661984
0_20_4.png,32.54949047,1.896973633,0.676678899,0.360460918,0.99472429,0.129932074,443552,854267,361552,1115039,1175688,1600511,938464,1079970,8617268,1662009
1_10_6.png,36.47413472,1.807049492,0.714446152,0.367740503,0.991427247,0.135233077,394211,817217,282452,1065944,952320,1634046,874045,1098344,9138315,1591426
1_20_2.png,22.76875695,1.454976171,0.720867476,0.367754159,0.993960284,0.135243121,390147,814887,279200,1070082,933633,1645555,883034,1094951,9127675,1609156
6_20_6.png,9.413361138,1.00568891,0.739682564,0.355551779,0.992725748,0.126417067,377511,821816,258003,1075921,783057,1670050,869194,1146936,9202765,1643067
4_15_10.png,32.86004728,1.937955956,0.653542765,0.255059808,0.988433384,0.065055506,481304,985751,360134,1271494,1162930,1891640,1059187,1294423,7419159,1922298
7_5_7.png,31.13837773,1.665178347,0.725410169,0.37959056,0.992901459,0.144088993,363781,771087,271221,1060615,946239,1646489,835221,1064076,9384956,1504635
6_15_4.png,8.885920071,1.00462266,0.741300121,0.389443849,0.992990332,0.151666512,379623,793195,269108,1016885,805099,1553406,847619,1077571,9524599,1581215
