Trt,Code,Day,Leave,Total area (cm2),Yellowing area (cm2),Green area (cm2),Yellowing area (%),Green area (%),R,G,B,Var_R,Var_G,Var_B,X,Y,Z,L*,a*,b*,,L*0,a*0,b*0,TCD,Grayscale,,Day,Yellowing area (%),Green area (%),TCD,Grayscale
20C,4_1,Day 0,1,275.15,0,275.15,0,100,161.921,174.605,136.728,36.09,42.65,24.91,34.62,39.98,29.46,30.37,-17.34,25.09,,,,,,157.753,,0,0,100,,148.49
,,,2,258.952,0,258.952,0,100,147.167,160.279,123.577,29.25,35.29,20.01,28.28,32.9,23.79,22.17,-15.38,21.5,,,,,,143.689,,1,0,100,2.83,151.95
,,,3,224.83,0,224.83,0,100,149.164,160.38,122.421,30.13,35.34,19.61,28.59,33.09,23.43,22.39,-14.72,22.55,,,,,,144.035,,2,23.37,76.63,8.24,156.05
,,Day 1,1,275.15,0,275.15,0,100,161.169,173.676,133.315,35.72,42.15,23.58,34.05,39.44,28.12,29.75,-17.69,26.51,,30.37,-17.34,25.09,1.583,156.038,,3,62.32,37.68,19.26,162.93
,,,2,258.952,0,258.952,0,100,157.773,170.145,134.417,34.08,40.27,24,32.78,37.78,28.27,27.83,-16.08,22.91,,22.17,-15.38,21.5,5.878,154.126,,4,90.19,9.81,39.27,179.48
,,,3,224.83,0,224.83,0,100,150.776,162.079,124.066,30.85,36.17,20.18,29.29,33.88,24.09,23.3,-14.99,22.9,,22.39,-14.72,22.55,1.018,145.684,,5,97.96,2.04,48.05,188.66
,,Day 2,1,275.15,0,275.15,0,100,161.967,175.09,133.744,36.11,42.92,23.74,34.52,40.09,28.38,30.5,-18.45,27.32,,30.37,-17.34,25.09,2.49,156.943,,6,99.92,0.08,48.58,192.58
,,,2,258.952,181.54,77.412,70.11,29.89,164.774,178.291,128.21,37.51,44.68,21.66,35.35,41.5,26.64,32.14,-21.11,33.37,,22.17,-15.38,21.5,16.532,157.104,,,,,,
,,,3,224.83,0,224.83,0,100,159.401,169.908,132.872,34.86,40.15,23.41,32.95,37.82,27.71,27.87,-15.35,24.03,,22.39,-14.72,22.55,5.71,154.098,,,,,,
,,Day 3,1,275.15,149.84,125.31,54.46,45.54,166.402,180.282,129.221,38.34,45.8,22.03,36.15,42.5,27.14,33.3,-21.86,34.44,,30.37,-17.34,25.09,10.789,158.624,,,,,,
,,,2,258.952,214.132,44.82,82.69,17.31,193.798,199.703,138.559,53.82,57.57,25.64,47.39,54.46,32.27,47.18,-22.44,48.82,,22.17,-15.38,21.5,37.713,177.372,,,,,,
,,,3,224.83,111.991,112.839,49.81,50.19,160.165,171.453,126.66,35.23,40.96,21.1,32.98,38.31,25.62,28.44,-17.68,28.91,,22.39,-14.72,22.55,9.263,152.797,,,,,,
,,Day 4,1,275.15,250.245,24.905,90.95,9.05,196.461,202.173,139.156,55.49,59.18,25.88,48.7,55.99,32.73,48.95,-23.16,51.03,,30.37,-17.34,25.09,32.424,179.254,,,,,,
,,,2,258.952,255.33,3.622,98.6,1.4,214.23,208.428,139.654,67.41,63.37,26.08,55.15,61.53,33.65,55.38,-16.91,60.4,,22.17,-15.38,21.5,51.177,187.452,,,,,,
,,,3,224.83,182.173,42.657,81.03,18.97,189.835,194.376,130.834,51.39,54.18,22.63,44.64,51.31,28.96,43.52,-21.19,48.68,,22.39,-14.72,22.55,34.219,171.72,,,,,,
,,Day 5,1,275.15,272.512,2.638,99.04,0.96,222.87,214.772,134.797,73.69,67.79,24.15,58.97,65.9,32.46,60.44,-18.55,71.34,,30.37,-17.34,25.09,55.173,190.815,,,,,,
,,,2,258.952,258.952,0,100,0,215.195,206.482,152.078,68.09,62.05,31.43,55.92,61.12,38.59,54.9,-10.75,50.37,,22.17,-15.38,21.5,43.894,191.248,,,,,,
,,,3,224.83,213.198,11.632,94.83,5.17,209.847,203.801,137.974,64.34,60.25,25.4,52.65,58.6,32.57,51.98,-15.44,56.54,,22.39,-14.72,22.55,45.076,183.907,,,,,,
,,Day 6,1,275.15,274.463,0.687,99.75,0.25,228.78,214.889,146.48,78.18,67.88,28.95,61.72,67.26,37.12,62.02,-10.87,65.38,,30.37,-17.34,25.09,51.634,196.713,,,,,,
,,,2,258.952,258.952,0,100,0,,,,0.08,0.08,0.08,0.08,0.08,0.09,-15.9,0,0,,22.17,-15.38,21.5,46.345,,,,,,,
,,,3,224.83,224.83,0,100,0,218.683,205.031,141.547,70.61,61.07,26.86,55.78,60.63,34.17,54.33,-9.01,57.6,,22.39,-14.72,22.55,47.766,188.445,,,,,,
