Feature Set,MSE,R2 Score
L H V R B Day,74.85441916,0.712575415
a b V R B Day,74.84089307,0.712627352
L a V B Day,74.83135557,0.712663974
L b H S G,74.82521658,0.712687547
a b R G Day,74.80132534,0.712779284
a S V R G Day,74.79378359,0.712808242
a G Day,74.7787887,0.712865819
L H S G B Day,74.75784344,0.712946245
a V R G B Day,74.74109228,0.713010565
a b H V Day,74.71865935,0.713096703
L a R Day,74.70123132,0.713163623
L a b S Day,74.67675576,0.713257604
b H S V G,74.6740933,0.713267827
L H B Day,74.64128487,0.713393804
L a b S V R Day,74.63303006,0.713425501
a b B Day,74.63112436,0.713432818
a H V G B Day,74.56573266,0.713683908
a b V G Day,74.56564767,0.713684234
L H S,74.55144036,0.713738787
L b H V R G Day,74.54013963,0.71378218
L a Day,74.53423199,0.713804864
a H V R G B Day,74.53186774,0.713813942
L a H V Day,74.51936263,0.713861959
a S V G Day,74.50259856,0.713926329
a b V R Day,74.49851141,0.713942023
b H V R G Day,74.45675379,0.714102363
L b R G Day,74.40770166,0.714290712
a H V R Day,74.3934581,0.714345405
a b H R G B Day,74.37322965,0.714423077
L a b H V G B Day,74.34152196,0.714544828
L a S R G B Day,74.3205313,0.714625428
L a b H R B Day,74.29599571,0.714719639
a S G B Day,74.27704965,0.714792388
L a b H S R G,74.27515985,0.714799644
L a H G B Day,74.25561091,0.714874708
L H V R G B Day,74.25546315,0.714875275
a H V G Day,74.24723682,0.714906862
a S V Day,74.2340867,0.714957356
b H B Day,74.1995542,0.715089953
L a H G Day,74.18286559,0.715154034
a V G Day,74.16031354,0.715240629
a b G Day,74.15798835,0.715249557
L a H V G Day,74.15439094,0.71526337
a b S V R G B Day,74.12818171,0.715364008
a S R B Day,74.08661436,0.715523617
L a b R B Day,74.07530514,0.715567042
a b H V R G Day,74.06368934,0.715611644
L a H S R Day,74.04603722,0.715679425
L a b H Day,74.01684697,0.715791509
a b S V R B Day,73.99140394,0.715889205
L b V R Day,73.98964941,0.715895942
L a H S R G B Day,73.98591436,0.715910283
H S G B Day,73.97911732,0.715936382
L a b G Day,73.96467279,0.715991846
b H S G B Day,73.94798007,0.716055943
L a B Day,73.92279147,0.716152661
L b H S V R B Day,73.90100275,0.716236325
L H S B Day,73.89102537,0.716274636
L b H S V,73.86313775,0.716381719
L a S B Day,73.86098479,0.716389986
L a b V R Day,73.85837119,0.716400021
L a S V R G B Day,73.85098872,0.716428368
L a H R G Day,73.83085525,0.716505676
L H S V B Day,73.83017913,0.716508273
a b R G B Day,73.81932281,0.716549958
H S B Day,73.78476899,0.716682638
H V B Day,73.78016742,0.716700307
a H S V R Day,73.72690098,0.716904838
L H S V R B Day,73.71227304,0.716961006
L b H S V G B Day,73.71193851,0.716962291
L b V Day,73.63477027,0.7172586
L a G B Day,73.63409715,0.717261184
L G B Day,73.63273877,0.7172664
a b H R G Day,73.61568484,0.717331884
S V G B Day,73.61561042,0.717332169
L a b V R G B Day,73.61140537,0.717348316
b H S R B Day,73.60382876,0.717377408
S R B Day,73.60041594,0.717390513
b H S V R Day,73.5556182,0.717562526
a b H V R Day,73.54279434,0.717611767
L a H S G B Day,73.53165692,0.717654532
L V R G B Day,73.51894761,0.717703333
a S R G B Day,73.49623383,0.717790549
L a b S R G B Day,73.49180359,0.717807561
R G B Day,73.49077521,0.717811509
L a b G B Day,73.47680688,0.717865145
b S R Day,73.47372378,0.717876983
L a b V R B Day,73.46338498,0.717916682
H G B Day,73.46286148,0.717918692
L a V R G B Day,73.46205411,0.717921792
H V R G B Day,73.45679796,0.717941975
L a H S R B Day,73.42201893,0.718075518
H S R B Day,73.41828233,0.718089866
L a b H V R G B Day,73.37492121,0.718256363
b S B Day,73.36012833,0.718313165
a b H S R Day,73.34283903,0.718379552
L a S V R Day,73.30009119,0.718543694
b R Day,73.29142093,0.718576986
L H V B Day,73.27380695,0.71864462
a b H S Day,73.27222376,0.718650699
L a b H V R G Day,73.26708825,0.718670418
a S R G Day,73.24706275,0.718747312
L a b H S G B Day,73.22773304,0.718821534
L b V R B Day,73.20284566,0.718917096
a S V B Day,73.15219945,0.719111566
L a H S V B Day,73.1127651,0.719262985
b V Day,73.10450267,0.719294711
a b V Day,73.10405859,0.719296416
L a S R Day,73.10240331,0.719302772
b H R G B Day,73.08207428,0.719380831
b R G Day,73.05809885,0.719472892
L a H V R G B Day,73.03633642,0.719556455
L a H B Day,73.03513517,0.719561067
a H S G B Day,72.99664616,0.719708857
L a H V B Day,72.99630881,0.719710152
L H S R B Day,72.98686809,0.719746402
a V R Day,72.98372885,0.719758456
a b V R G Day,72.98083476,0.719769569
L a b S G B Day,72.89742817,0.720089832
b R B Day,72.8920174,0.720110608
L a b H S R B Day,72.88006376,0.720156508
L a H S G Day,72.86206395,0.720225623
L a V Day,72.83239459,0.720339547
L a b H R G B Day,72.83148616,0.720343035
H S V B Day,72.82884566,0.720353174
L a H R B Day,72.82816684,0.72035578
L a b H G B Day,72.81469264,0.720407518
b H V B Day,72.79757349,0.720473252
